,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,2006,8,2,AA,ORD,IL,1546,1830,925.0,0,0,0,0,1
1,2006,8,3,AA,ORD,IL,1546,1830,925.0,0,0,1,0,0
2,2006,8,4,AA,ORD,IL,1546,1830,925.0,0,1,0,0,1
3,2006,8,6,AA,ORD,IL,1554,1840,925.0,0,0,0,0,1
4,2006,8,7,AA,ORD,IL,1546,1830,925.0,0,0,1,0,1
5,2006,8,2,AA,ORD,IL,1546,1830,925.0,0,1,1,0,1
6,2006,8,4,AA,ORD,IL,1546,1830,925.0,0,0,1,0,0
7,2006,8,1,AA,ORD,IL,1546,1830,925.0,0,0,1,0,0
8,2006,8,2,AA,ORD,IL,1546,1830,925.0,0,0,1,0,0
9,2006,8,4,AA,ORD,IL,1546,1830,925.0,0,0,1,0,1
10,2006,8,5,AA,ORD,IL,1546,1830,925.0,0,0,1,0,1
11,2006,8,1,AA,ORD,IL,1546,1830,925.0,0,0,1,0,0
12,2006,8,4,AA,ORD,IL,1129,1359,925.0,0,0,1,0,1
13,2006,8,1,AA,ORD,IL,1129,1359,925.0,0,0,1,0,1
14,2006,8,3,AA,ORD,IL,1129,1359,925.0,0,0,1,0,1
15,2006,8,4,AA,ORD,IL,1129,1359,925.0,0,0,1,0,1
16,2006,8,5,AA,ORD,IL,1129,1359,925.0,0,0,0,0,1
17,2006,8,1,AA,ORD,IL,1129,1359,925.0,0,0,1,0,0
18,2006,8,5,AA,ORD,IL,1129,1359,925.0,0,0,1,0,1
19,2006,8,6,AA,ORD,IL,1129,1359,925.0,0,0,0,0,1
20,2006,8,5,AA,ORD,IL,1129,1359,925.0,0,0,1,0,0
21,2006,8,6,AA,ORD,IL,1129,1359,925.0,0,0,1,0,1
22,2006,8,1,AA,ORD,IL,1129,1359,925.0,0,0,1,0,0
23,2006,8,5,AA,DFW,TX,1942,2100,224.0,0,0,0,0,1
24,2006,8,1,AA,DFW,TX,1942,2100,224.0,0,0,0,0,1
25,2006,8,5,AA,DFW,TX,1942,2100,224.0,0,0,0,0,1
26,2006,8,6,AA,DFW,TX,1942,2100,224.0,0,0,1,0,1
27,2006,8,7,AA,DFW,TX,1942,2100,224.0,0,0,0,0,1
28,2006,8,2,AA,DFW,TX,1942,2100,224.0,0,0,0,0,1
29,2006,8,2,AA,DFW,TX,1942,2100,224.0,0,0,0,0,1
30,2006,8,3,AA,DFW,TX,1942,2100,224.0,1,0,1,0,0
31,2006,8,7,AA,DFW,TX,1942,2100,224.0,0,1,0,0,0
32,2006,8,1,AA,DFW,TX,1942,2100,224.0,0,0,1,0,0
33,2006,8,2,AA,DFW,TX,1942,2100,224.0,0,0,0,0,1
34,2006,8,3,AA,ORD,IL,745,1014,925.0,0,0,1,0,0
35,2006,8,1,AA,ORD,IL,745,1014,925.0,1,0,1,0,0
36,2006,8,4,AA,ORD,IL,745,1014,925.0,0,0,1,1,0
37,2006,8,5,AA,ORD,IL,745,1014,925.0,0,0,1,0,0
38,2006,8,3,AA,ORD,IL,745,1014,925.0,0,0,1,0,0
